bad_customer,credit_balance_percent,age,num_of_group1_pastdue,debt_ratio,income,num_of_loans,num_of_times_late_90days,num_of_estate_loans,num_of_group2_pastdue,num_of_dependents
0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0
0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0.0
1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0
0,0.9999999,62,0,0.0,,1,0,0,0,0.0
0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0
0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0
0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0
0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0.0
0,0.541108804,43,0,2477.0,,3,0,1,0,2.0
0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0
0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0.0
0,0.101155821,72,0,1720.0,,12,0,2,0,0.0
0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2.0
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0
0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0
0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0.0
0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2.0
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0
0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0
0,0.142013011,67,0,1824.0,,7,0,2,0,0.0
0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0
0,0.059668871,31,0,3162.0,0.0,11,0,2,0,1.0
1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0
0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0
0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0
0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0
0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0
0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0
0,0.183316667,52,0,0.111131623,10833.0,14,0,2,0,1.0
0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0
0,0.017258977,53,0,2.604510673,12414.0,13,0,1,0,2.0
0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0
0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0
0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0
0,0.360509632,58,1,3282.0,,8,0,2,0,0.0
0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0.0
1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0
0,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0.0
0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0
0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0
0,0.784835658,52,0,2662.0,,10,0,2,1,0.0
0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0
0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0
0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0
0,0.542242704,48,2,10.0,,2,0,0,0,
0,0.010531379,57,0,0.280664917,5714.0,6,0,1,0,0.0
0,0.363199686,32,0,0.480523957,2900.0,4,0,1,0,0.0
0,0.032617977,75,0,0.006799093,7500.0,4,0,0,0,0.0
0,0.013024674,61,0,15.0,,4,0,0,0,0.0
0,0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0.0
0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0
0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0
0,0.003108849,57,0,0.258939285,8333.0,7,0,1,0,0.0
0,0.114830941,46,0,0.026235802,6250.0,6,0,0,0,3.0
0,0.018886792,80,0,0.003478779,10060.0,5,0,0,0,0.0
0,0.635415157,32,0,0.519493502,3000.0,4,0,1,0,1.0
0,0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0.0
0,0.041257909,61,0,4739.0,,11,0,4,0,
0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0
0,0.31844615,58,0,1.382629108,3833.0,26,0,4,0,0.0
0,0.186987534,52,0,0.023993145,3500.0,4,0,0,0,0.0
0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0
0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0
0,0.00750765,74,0,7.0,,4,0,0,0,0.0
0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0
0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0
0,0.007520592,68,0,269.0,,4,0,0,0,0.0
0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0
0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0
0,0.317975796,34,0,0.297933792,4500.0,11,0,2,0,0.0
0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0
0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0
0,0.277956679,39,0,4090.0,,9,0,2,0,0.0
0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0
0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0
0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0
0,0.151912549,36,0,0.266394467,12000.0,22,0,2,0,0.0
0,0.0,59,0,0.351699622,4500.0,12,0,1,0,0.0
0,0.175727593,43,1,994.0,,4,0,1,0,0.0
0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0.0
0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0
0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0
0,0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0.0
0,0.083880003,53,0,0.199647533,7943.0,8,0,1,0,0.0
0,0.089478348,56,0,1.065901518,2700.0,11,0,1,0,2.0
0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0
0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0
0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0
0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0
0,0.576518559,72,0,3031.0,,11,0,1,0,0.0
0,0.243872021,53,0,0.534027778,8639.0,22,0,2,0,3.0
0,0.362483818,27,0,567.0,,4,0,0,0,0.0
0,0.116676791,31,0,0.343593791,3800.0,7,0,1,0,0.0
0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4.0
0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0
0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0.0
0,0.54699881,50,0,0.748071979,3500.0,9,0,2,0,3.0
0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0
0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0
0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0
0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0
0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0
0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0
0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0.0
0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0
0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0.0
0,0.147712223,40,0,0.034847816,6800.0,6,0,0,0,3.0
0,0.0,63,0,2.0,,4,0,0,0,
0,0.0,50,1,0.726566993,3477.0,5,0,1,0,1.0
0,0.070771911,38,0,2088.0,,6,0,1,0,0.0
1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0
0,0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2.0
0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0.0
0,0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0.0
0,0.081379827,63,0,1268.0,,8,0,1,0,0.0
0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0
0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0
0,0.771845631,33,0,0.852429514,5000.0,7,0,3,0,0.0
0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0.0
0,0.9999999,29,0,974.0,,2,0,0,0,0.0
0,0.16653274,53,0,0.543625949,7506.0,11,0,3,0,3.0
0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0.0
0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0
0,0.167571389,69,0,0.330733853,5000.0,10,0,1,0,1.0
0,0.9999999,69,0,0.005319149,2255.0,0,1,0,0,3.0
0,0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0.0
0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0.0
1,0.946963874,35,0,1593.0,,6,0,1,0,1.0
0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1.0
0,0.055549313,65,0,2177.0,,6,0,1,0,1.0
0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0
0,0.184986787,55,4,3144.0,,11,0,1,0,0.0
1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0.0
1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0
1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1.0
0,0.0112096,86,0,13.0,,3,0,0,0,0.0
0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0.0
0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0
0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0.0
0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0.0
0,0.0,49,0,2932.0,,11,0,1,0,0.0
0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4.0
0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0
1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0
0,0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3.0
0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0.0
0,0.114869499,35,0,103.0,,6,0,0,0,0.0
0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0
0,0.045423864,64,0,0.181311286,5200.0,4,0,1,0,0.0
0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2.0
0,0.078738916,46,0,0.166215372,4800.0,6,0,1,0,4.0
0,0.137609462,49,0,0.429533892,7272.0,11,0,2,0,0.0
0,0.030173038,64,0,0.17386957,9000.0,8,0,1,0,0.0
0,0.021978375,40,0,0.443755624,10000.0,12,0,5,0,2.0
0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0
0,0.007506793,60,0,1253.0,,8,0,1,0,1.0
0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0.0
0,0.292365949,50,0,0.420180551,8750.0,8,0,2,0,0.0
0,0.20808276,64,0,2826.0,,14,0,2,0,0.0
0,0.9999999,66,1,0.358101135,1937.0,4,1,0,0,0.0
0,0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2.0
0,0.9999999,62,0,0.04965839,6000.0,1,0,0,0,0.0
1,0.655316473,63,0,5223.0,,19,0,2,0,0.0
0,0.9999999,50,2,1208.0,,4,0,1,0,0.0
0,0.028113957,61,0,0.031349387,2200.0,12,0,0,0,0.0
0,0.222696207,42,0,800.0,1.0,3,0,1,0,2.0
0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0.0
0,0.017508178,73,1,0.135589153,4166.0,12,0,1,0,0.0
0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0
0,0.333060631,52,3,0.700153374,5215.0,15,0,2,1,0.0
0,0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2.0
0,0.260271523,44,0,0.296854804,6962.0,11,0,1,0,0.0
0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0
0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0.0
1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0
0,0.181557324,36,0,0.56071964,2000.0,7,0,1,0,1.0
0,0.147123525,41,0,0.436025621,6400.0,5,0,1,0,2.0
0,0.025601772,63,1,0.262773723,10000.0,8,0,1,0,0.0
0,0.0,76,0,0.002465931,7704.0,3,0,0,0,0.0
0,0.196372799,43,0,0.537485582,2600.0,10,0,1,0,0.0
0,0.083945242,64,0,0.588073078,2900.0,6,0,1,0,0.0
0,0.034833091,67,0,0.460246187,12916.0,9,0,2,0,0.0
0,0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1.0
0,0.0,66,0,3730.0,,8,0,1,0,0.0
0,0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0.0
0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0
0,0.9999999,28,0,0.0,,0,0,0,0,
0,0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1.0
1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0
0,0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0.0
0,0.877564897,58,0,2825.0,,10,0,2,0,0.0
0,0.9999999,68,0,0.040493251,6000.0,0,0,0,0,0.0
0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0
0,0.732660667,44,2,0.14041952,9200.0,15,0,1,0,0.0
0,0.084220458,42,0,0.458551158,6694.0,26,0,2,0,4.0
0,0.114561798,40,0,0.359964004,10000.0,20,0,2,0,2.0
0,0.012151003,78,0,0.008886914,4500.0,12,0,0,0,0.0
0,0.081310737,81,0,0.165566887,3333.0,4,0,0,0,0.0
0,0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0.0
1,1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0.0
0,0.011883886,54,0,0.092913547,9750.0,8,0,1,0,2.0
0,0.75264947,33,1,0.058322869,7166.0,6,0,0,0,0.0
0,0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5.0
0,0.0,23,0,0.0,1725.0,1,0,0,0,0.0
0,0.634327056,49,1,0.123125125,15000.0,7,0,0,0,1.0
0,0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2.0
0,0.0,63,0,0.007988922,9387.0,9,0,0,0,0.0
0,0.090614887,42,0,86.0,,5,0,0,0,0.0
0,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0
0,0.027446383,54,0,1612.0,,6,0,1,0,0.0
0,0.412398622,28,0,0.037259615,4991.0,5,0,0,0,0.0
0,0.024670782,78,0,392.0,,6,0,1,0,
0,0.046710961,66,0,1.117952819,2500.0,12,0,1,0,0.0
0,0.976531824,32,0,0.264078812,6800.0,6,0,0,0,2.0
0,0.007982621,43,1,0.009691169,208333.0,11,0,1,0,1.0
0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1.0
0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0
0,0.010402205,68,0,0.094140517,3600.0,6,0,1,0,0.0
0,0.9999999,61,0,0.529548989,1285.0,3,0,1,0,0.0
0,0.029816467,68,0,0.175139978,4464.0,12,0,1,0,1.0
0,0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1.0
0,0.051368557,68,0,0.445277361,4668.0,10,0,1,0,2.0
0,0.29264536,57,0,0.205927884,26484.0,11,0,2,0,3.0
1,0.220823719,46,1,0.637749121,1705.0,5,0,0,0,0.0
0,0.008099838,69,0,0.389895596,8332.0,3,0,1,0,0.0
0,0.0,44,0,0.326383681,6666.0,4,0,2,0,1.0
0,0.006099797,28,0,0.139429485,3750.0,8,0,0,0,0.0
0,0.909538698,53,1,0.595653913,7500.0,16,0,1,0,1.0
0,0.941072508,40,0,0.178184282,8855.0,9,0,1,0,0.0
0,0.991667222,36,1,0.554878049,5411.0,10,0,2,0,1.0
0,0.691488418,42,0,0.272721679,16250.0,11,0,1,0,1.0
0,0.112855258,64,0,0.307576329,2652.0,6,0,1,0,0.0
0,0.260971034,57,0,5439.0,,16,0,3,0,
0,0.048244493,62,0,0.262879153,16615.0,11,0,1,0,1.0
0,0.9999999,47,0,0.092163472,9493.0,2,2,0,1,0.0
0,0.9999999,62,0,0.0,5480.0,3,0,0,0,0.0
0,0.074256375,49,0,0.347930414,5000.0,11,0,2,0,3.0
0,0.144878408,66,0,0.28446242,8900.0,9,0,1,0,0.0
0,0.191001932,54,0,0.705627706,5081.0,10,0,2,0,2.0
0,0.219382879,56,1,942.0,,9,0,1,0,1.0
0,0.679813777,83,0,0.689589756,4216.0,6,0,2,0,0.0
0,2340.0,45,0,0.339332853,8333.0,7,0,2,0,2.0
0,0.371875401,29,0,0.53628857,2300.0,9,0,1,0,3.0
0,0.025856408,67,0,0.083799311,13054.0,13,0,1,0,0.0
0,0.547887778,29,1,0.24651504,2725.0,5,0,0,1,0.0
0,0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4.0
0,0.085152475,25,0,1005.0,0.0,5,0,0,0,0.0
0,0.897203427,68,0,0.787803049,4000.0,8,0,2,0,0.0
0,0.25889775,33,0,0.537441339,4900.0,3,0,1,0,1.0
0,0.0,55,1,0.03988553,5590.0,8,0,0,0,0.0
0,0.035940506,46,0,0.271186441,6666.0,10,0,1,0,3.0
0,0.9999999,66,0,0.046633911,11600.0,2,0,0,0,1.0
0,0.465238835,66,0,0.391427671,3172.0,8,1,1,0,0.0
0,0.865423051,48,0,0.075848303,500.0,1,0,0,0,0.0
0,0.696411671,52,0,0.408871921,11000.0,11,0,1,0,4.0
0,0.544497658,32,1,0.166766647,6667.0,5,1,0,0,0.0
0,0.081238383,51,0,0.066830086,7750.0,14,0,0,0,2.0
0,0.948762809,27,0,0.144948404,4166.0,5,0,0,0,0.0
0,0.0,32,2,0.463610776,7460.0,10,0,1,1,0.0
0,0.016598893,30,0,0.136575616,1500.0,5,0,0,0,0.0
0,0.063329564,37,0,0.329935275,6179.0,6,0,1,0,3.0
0,0.093638481,49,0,0.042836573,8333.0,10,0,0,0,1.0
0,0.0,37,0,0.184027338,7900.0,5,0,1,0,5.0
0,0.730271957,36,1,0.632794037,5500.0,10,0,2,0,0.0
0,0.426371142,62,1,0.406053995,3666.0,15,0,1,0,0.0
0,0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1.0
0,0.0,59,0,0.0,4200.0,7,0,0,0,1.0
0,1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4.0
0,0.0164781,92,0,10.0,,3,0,0,0,0.0
0,0.042606843,58,0,3976.0,,13,0,3,0,0.0
0,0.022890604,37,0,0.288477299,6100.0,16,0,1,0,0.0
0,0.283821988,63,0,0.750200803,1244.0,9,0,0,0,0.0
0,0.319779462,32,0,1.247340213,12500.0,12,0,8,0,0.0
0,0.155240525,52,0,0.483518065,6946.0,15,0,2,0,1.0
0,0.013115183,43,0,4211.0,0.0,21,0,2,0,2.0
0,0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0.0
0,0.284236153,45,1,0.318890815,7500.0,9,0,1,0,2.0
0,0.727560021,38,0,0.712458746,2423.0,6,0,1,0,1.0
0,0.687779097,62,0,0.249471161,7090.0,15,0,0,0,0.0
0,0.9999999,29,0,0.0,,0,0,0,0,0.0
0,0.033708851,41,0,0.408706353,6500.0,9,0,1,0,2.0
0,0.0,29,0,0.193935355,3000.0,7,0,0,0,0.0
1,0.03719769,47,0,0.03975841,25000.0,11,0,1,0,3.0
0,0.0,55,1,0.388320836,4400.0,4,0,2,0,1.0
0,0.053589282,87,0,0.001534331,5213.0,4,0,0,0,0.0
0,0.100773109,41,0,0.199761673,9230.0,7,0,1,0,0.0
0,0.0,61,0,1.394967177,913.0,11,0,2,0,0.0
0,0.399946674,28,0,0.189702574,4000.0,6,0,0,0,1.0
0,0.052653171,43,0,0.572292191,1984.0,9,0,0,0,4.0
0,0.072318616,71,0,0.426412462,4300.0,8,0,2,0,1.0
0,0.203959597,46,0,0.072914726,16100.0,6,0,1,0,2.0
0,0.9999999,30,0,0.090341011,5600.0,1,0,0,0,0.0
1,0.880370887,43,0,0.461323764,7523.0,6,0,1,0,1.0
0,0.429246267,59,0,0.381254316,15928.0,17,0,1,0,1.0
0,0.0,47,0,773.0,,2,0,1,0,1.0
0,0.049529205,61,0,542.0,,15,0,0,0,0.0
0,0.360907571,72,0,0.356679286,3697.0,6,0,1,0,0.0
0,0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0
1,0.635720859,68,1,0.218071277,25000.0,27,0,3,0,0.0
0,0.0,58,0,8380.0,,20,0,5,0,0.0
0,0.507972665,69,2,0.193935355,3000.0,10,2,0,2,0.0
0,0.245841666,71,0,151.0,,5,0,0,0,0.0
1,0.953343701,48,2,2073.0,,5,1,2,2,0.0
0,0.9999999,37,0,0.184625639,4500.0,2,0,0,0,1.0
0,0.118853837,50,0,2720.0,,7,0,1,0,2.0
0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0
0,0.9999999,35,0,3388.0,,1,0,1,0,0.0
0,0.028423247,59,0,0.033982276,14330.0,12,0,1,0,0.0
0,0.143427862,67,0,0.119463561,5666.0,9,0,0,0,0.0
0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0
0,0.496388581,56,0,0.170164956,19580.0,12,0,1,0,1.0
0,0.457526639,51,0,0.333583302,8000.0,16,0,2,0,2.0
0,0.728218119,40,1,3878.0,,10,0,2,0,0.0
0,0.947264856,28,0,0.467171717,1187.0,4,0,0,0,0.0
0,0.013916922,54,0,0.017655818,4700.0,7,0,0,0,2.0
0,0.066347297,46,1,4480.0,,6,0,2,0,0.0
0,0.502958087,57,0,6381.0,,5,0,2,0,0.0
0,1.047495906,35,2,0.314566116,3871.0,8,0,2,1,3.0
0,0.012586354,79,0,0.009596162,2500.0,11,0,0,0,0.0
0,0.543445655,46,0,0.267146571,5000.0,6,0,2,0,3.0
0,0.026580302,79,0,1063.0,,7,0,1,0,0.0
0,0.082317351,64,0,0.214426305,8636.0,29,0,1,0,1.0
0,0.292541492,74,0,0.164917541,2000.0,3,0,0,0,0.0
0,0.024240472,64,0,0.101514142,10500.0,20,0,1,0,0.0
0,0.047650102,63,0,0.387956894,9000.0,6,0,2,0,0.0
1,0.739146488,63,1,0.285156885,6150.0,12,0,0,0,1.0
0,0.186890655,54,0,0.655589124,3640.0,7,0,1,0,1.0
0,0.007501937,63,0,0.278226307,8050.0,13,0,2,0,3.0
0,0.522314625,45,0,0.290229092,14491.0,13,0,1,0,3.0
0,0.9999999,22,0,130.0,,0,0,0,0,
0,0.571604587,66,0,870.0,,12,0,0,0,
0,0.903231566,57,0,0.13080895,5228.0,10,0,0,0,0.0
0,0.017043518,43,0,0.10821382,2300.0,6,0,0,0,1.0
0,0.060733396,61,0,0.008549573,20000.0,8,0,0,0,0.0
0,0.000582648,54,0,2028.0,,13,0,1,0,1.0
0,0.003894686,90,0,876.0,,11,0,1,0,0.0
0,0.250008365,60,0,2.086478612,7550.0,26,0,0,0,0.0
0,0.466334165,34,2,0.007495315,3201.0,3,0,0,0,0.0
0,0.114588541,38,0,34.0,,2,0,0,0,0.0
0,0.9999999,60,0,0.0,4200.0,0,0,0,0,0.0
0,0.267905614,76,0,0.285452994,8200.0,12,0,0,0,0.0
0,0.029694361,76,0,0.070513488,9600.0,7,0,0,0,2.0
0,0.305246317,39,0,0.188281635,10154.0,6,0,1,0,2.0
0,0.000685675,83,0,0.0,,4,0,0,0,0.0
0,0.702493864,63,0,0.582162622,4697.0,8,0,2,0,1.0
0,0.742436041,52,0,0.414081023,9700.0,10,0,2,0,0.0
1,0.802417179,58,1,668.0,,5,1,0,0,0.0
0,0.9999999,42,1,0.113421853,6250.0,3,3,0,1,2.0
0,0.134191514,63,0,926.5,1.0,9,0,1,0,0.0
0,0.002556199,58,0,0.115826132,7752.0,17,0,0,0,2.0
0,0.088845558,62,0,0.073772011,5394.0,5,0,0,0,0.0
0,0.203947961,46,1,1.206516118,5800.0,12,1,4,0,2.0
0,0.006666097,27,0,0.000268637,7444.0,5,0,0,0,0.0
0,0.014049649,27,0,0.352214765,3724.0,4,0,1,0,1.0
0,0.9999999,35,1,0.092985318,3064.0,1,0,0,0,3.0
0,0.368866624,55,0,0.437996083,9700.0,18,0,2,0,0.0
