DATE,CatfishFarm Price,CatfishProcessor Price
9/1/1993,73,220.5
10/1/1993,73,222.8
11/1/1993,73,221.7
12/1/1993,73,221.1
1/1/1994,74,221.5
2/1/1994,77,229.1
3/1/1994,79,238.9
4/1/1994,80,241.1
5/1/1994,80,243
6/1/1994,80,245.7
7/1/1994,80,243.1
8/1/1994,80,246.2
9/1/1994,80,242.4
10/1/1994,77,236.8
11/1/1994,77,238.9
12/1/1994,77,237
1/1/1995,78,235
2/1/1995,79,239.7
3/1/1995,79,241.8
4/1/1995,79,243.7
5/1/1995,79,244.5
6/1/1995,79,240.7
7/1/1995,79,241.6
8/1/1995,79,241.9
9/1/1995,78,241.2
10/1/1995,78,237.8
11/1/1995,78,236.4
12/1/1995,78,234.7
1/1/1996,77,232.5
2/1/1996,78,235.7
3/1/1996,78,236.1
4/1/1996,78,237.3
5/1/1996,79,237.4
6/1/1996,79,244.5
7/1/1996,79,243.1
8/1/1996,78,238.8
9/1/1996,77,236.1
10/1/1996,76,233.8
11/1/1996,75,233.2
12/1/1996,73,228.7
1/1/1997,73,227.8
2/1/1997,73,229.8
3/1/1997,73,230.4
4/1/1997,73,226.7
5/1/1997,73,228.4
6/1/1997,72,226.5
7/1/1997,71,225.4
8/1/1997,70,225.8
9/1/1997,69,225.3
10/1/1997,69,220.4
11/1/1997,69,220.6
12/1/1997,69,223.6
1/1/1998,69,219.5
2/1/1998,73,227.7
3/1/1998,78,237.1
4/1/1998,79,237.5
5/1/1998,79,239.4
6/1/1998,78,234.4
7/1/1998,76,234.6
8/1/1998,74,232.9
9/1/1998,73,229.6
10/1/1998,71,226.4
11/1/1998,70,226.4
12/1/1998,70,224.1
1/1/1999,70.3,225.6
2/1/1999,71.4,225.9
3/1/1999,73.2,231.8
4/1/1999,75.6,236.1
5/1/1999,77.7,239.8
6/1/1999,77.5,239.5
7/1/1999,76.8,239.4
8/1/1999,74.3,234.7
9/1/1999,72.8,236.9
10/1/1999,71.6,235.8
11/1/1999,71.3,235.3
12/1/1999,71.6,230.9
1/1/2000,74.4,235.1
2/1/2000,78.8,240
3/1/2000,78.9,244.4
4/1/2000,78.9,244.7
5/1/2000,78.5,245
6/1/2000,78.6,237.5
7/1/2000,76,238.8
8/1/2000,74.1,239.1
9/1/2000,72.7,237
10/1/2000,71,232.5
11/1/2000,69.6,232.9
12/1/2000,68.2,227.2
1/1/2001,69.3,232
2/1/2001,69.6,236.3
3/1/2001,69.7,233.4
4/1/2001,69.4,233.5
5/1/2001,68.7,232.5
6/1/2001,66.9,227.6
7/1/2001,65.6,226.2
8/1/2001,62.4,223.9
9/1/2001,61,218.1
10/1/2001,59.6,216.4
11/1/2001,56.6,211.5
12/1/2001,55.4,209.3
1/1/2002,54.9,208.6
2/1/2002,55.5,209.9
3/1/2002,56.5,206.3
4/1/2002,56.1,208.2
5/1/2002,57.4,209.3
6/1/2002,58.8,209.6
7/1/2002,59,206.9
8/1/2002,58.2,206.2
9/1/2002,57.6,207.6
10/1/2002,56.8,205.2
11/1/2002,56,203.9
12/1/2002,54.4,203
1/1/2003,52.9,202.2
2/1/2003,54.4,201.6
3/1/2003,58.5,207.3
4/1/2003,63,210.3
5/1/2003,61.8,207.4
6/1/2003,58.6,203.6
7/1/2003,56.4,203.9
8/1/2003,55.2,203
9/1/2003,56,202
10/1/2003,56.7,204.9
11/1/2003,61,207.4
12/1/2003,62.9,208.9
1/1/2004,66.8,214.2
2/1/2004,70.3,221
3/1/2004,72.3,227.2
4/1/2004,72.8,233.5
5/1/2004,72,229.2
6/1/2004,68.9,224.3
7/1/2004,68.2,227.4
8/1/2004,68.3,219.9
9/1/2004,68.3,221.4
10/1/2004,69.5,221.7
11/1/2004,68.9,218.6
12/1/2004,69,223.3
1/1/2005,72.5,228.6
2/1/2005,73.1,229.7
3/1/2005,73.3,233.1
4/1/2005,72.5,231.3
5/1/2005,72.2,229.8
6/1/2005,72.1,229.8
7/1/2005,72.3,228.1
8/1/2005,72.4,227.4
9/1/2005,72.4,228.3
10/1/2005,72.4,226.7
11/1/2005,72.4,229.9
12/1/2005,72.6,224.9
1/1/2006,72.7,227
2/1/2006,72.9,228.9
3/1/2006,74.5,234.1
4/1/2006,78.5,245.4
5/1/2006,79.6,249.6
6/1/2006,80.7,254.7
7/1/2006,81.2,257.5
8/1/2006,81.1,254
9/1/2006,83.2,254.3
10/1/2006,83.6,256.7
11/1/2006,83.7,254
12/1/2006,83.8,254.3
1/1/2007,83.7,255.4
2/1/2007,83.8,249.6
3/1/2007,83.8,253.8
4/1/2007,84.1,257
5/1/2007,84,251.2
6/1/2007,81.7,252
7/1/2007,76.2,249.8
8/1/2007,73.1,237.1
9/1/2007,69.7,235.1
10/1/2007,68.2,231.1
11/1/2007,66.6,227.6
12/1/2007,65,226.3
1/1/2008,65.8,221
2/1/2008,68.8,228
3/1/2008,74.3,236.2
4/1/2008,75.7,239.4
5/1/2008,77.6,242.8
6/1/2008,79.4,248.2
7/1/2008,81.8,250
8/1/2008,82.7,254.1
9/1/2008,82.7,259.7
10/1/2008,82.5,250.4
11/1/2008,82.3,257.1
12/1/2008,82.1,255.4
1/1/2009,81,258.9
2/1/2009,77,254.4
3/1/2009,77.3,255.3
4/1/2009,76.3,259.9
5/1/2009,76.2,254.7
6/1/2009,76.3,250.8
7/1/2009,77.1,249.9
8/1/2009,76.9,254.5
9/1/2009,77.2,251.6
10/1/2009,76.8,244.1
11/1/2009,76.5,250.8
12/1/2009,76.3,246.2
1/1/2010,76.4,245.6
2/1/2010,76.5,248.1
3/1/2010,78.5,242.1
4/1/2010,80.4,247.8
5/1/2010,79.6,247.7
6/1/2010,78.6,250.8
7/1/2010,78.8,253.6
8/1/2010,79,251.3
9/1/2010,81.6,250.7
10/1/2010,83.2,253.5
11/1/2010,84.1,256.1
12/1/2010,86.1,259.7
1/1/2011,93.1,284.7
2/1/2011,100.3,303
3/1/2011,107.5,321.3
4/1/2011,114.1,336.6
5/1/2011,116.9,350.5
6/1/2011,123.1,346.5
7/1/2011,125.2,365.9
8/1/2011,127.7,365.3
9/1/2011,127.5,372
10/1/2011,126.2,360.9
11/1/2011,125.7,351.1
12/1/2011,125.1,352
1/1/2012,124.8,343.1
2/1/2012,122.9,349.7
3/1/2012,120.1,346.1
4/1/2012,116.7,340.9
5/1/2012,103.8,322.2
6/1/2012,93.4,310.4
7/1/2012,84.3,287.9
8/1/2012,79.8,279.1
9/1/2012,79.3,278.6
10/1/2012,80.3,279.5
11/1/2012,82.2,283.1
12/1/2012,83,279.3
1/1/2013,81.9,275.6
2/1/2013,82.2,276.6
