"date","consumption","temp","season"
1987-03-04,113,38,"winter"
1987-03-05,125,44,"winter"
1987-03-06,108,48.5,"winter"
1987-03-07,114,59.5,"winter"
1987-03-08,109,54.5,"winter"
1987-03-09,126,31,"winter"
1987-03-10,113,25.5,"winter"
1987-03-11,112,28.5,"winter"
1987-03-12,125,33.5,"winter"
1987-03-13,128,34,"winter"
1987-03-14,106,37,"winter"
1987-03-15,113,35,"winter"
1987-03-16,117,37.5,"winter"
1987-03-17,127,38.5,"winter"
1987-03-18,120,39.5,"winter"
1987-03-19,121,41.5,"winter"
1987-03-20,127,43,"winter"
1987-03-21,120,43.5,"winter"
1987-03-22,100,48,"winter"
1987-03-23,125,53.5,"winter"
1987-03-24,132,57.5,"winter"
1987-03-25,134,45,"winter"
1987-03-26,107,45,"winter"
1987-03-27,102,43,"winter"
1987-03-28,128,46,"winter"
1987-03-29,101,39.5,"winter"
1987-03-30,125,29,"winter"
1987-03-31,106,30,"winter"
1987-04-01,119,41.5,"spring"
1987-04-02,91,29.5,"spring"
1987-04-03,120,28,"spring"
1987-04-04,123,35.5,"spring"
1987-04-05,108,43.5,"spring"
1987-04-06,117,50,"spring"
1987-04-07,134,49.5,"spring"
1987-04-08,120,40,"spring"
1987-04-09,120,50,"spring"
1987-04-10,110,59.5,"spring"
1987-04-11,111,51,"spring"
1987-04-12,129,49.5,"spring"
1987-04-13,93,48,"spring"
1987-04-14,140,52.5,"spring"
1987-04-15,106,51.5,"spring"
1987-04-16,110,54,"spring"
1987-04-17,115,57.5,"spring"
1987-04-18,106,61.5,"spring"
1987-04-19,105,64,"spring"
1987-04-20,120,71,"spring"
1987-04-21,97,56,"spring"
1987-04-22,136,47,"spring"
1987-04-23,112,52,"spring"
1987-04-24,108,49,"spring"
1987-04-25,130,51,"spring"
1987-04-26,102,57,"spring"
1987-04-27,107,56.5,"spring"
1987-04-28,118,53.5,"spring"
1987-04-29,110,64.5,"spring"
1987-04-30,101,46,"spring"
1987-05-01,117,53.5,"spring"
1987-05-02,123,53,"spring"
1987-05-03,110,45,"spring"
1987-05-04,108,48,"spring"
1987-05-05,134,50.5,"spring"
1987-05-06,131,58,"spring"
1987-05-07,126,59.5,"spring"
1987-05-08,108,59,"spring"
1987-05-09,112,69.5,"spring"
1987-05-10,116,74.5,"spring"
1987-05-11,131,71,"spring"
1987-05-12,123,51.5,"spring"
1987-05-13,104,59,"spring"
1987-05-14,123,69,"spring"
1987-05-15,105,56.5,"spring"
1987-05-16,108,62.5,"spring"
1987-05-17,123,70.5,"spring"
1987-05-18,134,66.5,"spring"
1987-05-19,101,67.5,"spring"
1987-05-20,114,66.5,"spring"
1987-05-21,125,74,"spring"
1987-05-22,111,61.5,"spring"
1987-05-23,107,51,"spring"
1987-05-24,105,50.5,"spring"
1987-05-25,115,57.5,"spring"
1987-05-26,106,73,"spring"
1987-05-27,113,78.5,"spring"
1987-05-28,104,78.5,"spring"
1987-05-29,106,78.5,"spring"
1987-05-30,115,76,"spring"
1987-05-31,102,76,"spring"
1987-06-01,112,74.5,"spring"
1987-06-02,111,72,"spring"
1987-06-03,120,69,"spring"
1987-06-04,103,63,"spring"
1987-06-05,98,70,"spring"
1987-06-06,101,71,"spring"
1987-06-07,102,77.5,"spring"
1987-06-08,143,74.5,"spring"
1987-06-09,88,57.5,"spring"
1987-06-10,106,61,"spring"
1987-06-11,96,72.5,"spring"
1987-06-12,117,80,"spring"
1987-06-13,97,77,"spring"
1987-06-14,146,83,"spring"
1987-06-15,120,73.5,"spring"
1987-06-16,109,75,"spring"
1987-06-17,112,77,"spring"
1987-06-18,132,80.5,"spring"
1987-06-19,106,77.5,"spring"
1987-06-20,122,77,"spring"
1987-06-21,112,76,"spring"
1987-06-22,117,67,"spring"
1987-06-23,100,72.5,"spring"
1987-06-24,108,76,"spring"
1987-06-25,126,70.5,"spring"
1987-06-26,105,69,"spring"
1987-06-27,111,64.5,"spring"
1987-06-28,122,72,"spring"
1987-06-29,108,72.5,"spring"
1987-06-30,106,70.5,"spring"
1987-07-01,104,68.5,"summer"
1987-07-02,120,71,"summer"
1987-07-03,112,77.5,"summer"
1987-07-04,101,72.5,"summer"
1987-07-05,114,72.5,"summer"
1987-07-06,113,80,"summer"
1987-07-07,119,80,"summer"
1987-07-08,126,80.5,"summer"
1987-07-09,108,80.5,"summer"
1987-07-10,95,80,"summer"
1987-07-11,125,80,"summer"
1987-07-12,119,79.5,"summer"
1987-07-13,77,64.5,"summer"
1987-07-14,113,67,"summer"
1987-07-15,110,63,"summer"
1987-07-16,108,65.5,"summer"
1987-07-17,102,78,"summer"
1987-07-18,110,79.5,"summer"
1987-07-19,129,84.5,"summer"
1987-07-20,140,81.5,"summer"
1987-07-21,105,81,"summer"
1987-07-22,110,80.5,"summer"
1987-07-23,121,82,"summer"
1987-07-24,110,83,"summer"
1987-07-25,115,84.5,"summer"
1987-07-26,105,78.5,"summer"
1987-07-27,112,71,"summer"
1987-07-28,109,72.5,"summer"
1987-07-29,125,78,"summer"
1987-07-30,92,79.5,"summer"
1987-07-31,110,80.5,"summer"
1987-08-01,113,87,"summer"
1987-08-02,115,86,"summer"
1987-08-03,137,83,"summer"
1987-08-04,112,75,"summer"
1987-08-05,126,72,"summer"
1987-08-06,111,72,"summer"
1987-08-07,95,79.5,"summer"
1987-08-08,113,73.5,"summer"
1987-08-09,107,72.5,"summer"
1987-08-10,96,71,"summer"
1987-08-11,98,74.5,"summer"
1987-08-12,83,76,"summer"
1987-08-13,121,75.5,"summer"
1987-08-14,107,74,"summer"
1987-08-15,115,79.5,"summer"
1987-08-16,125,80,"summer"
1987-08-17,120,73.5,"summer"
1987-08-18,102,69.5,"summer"
1987-08-19,102,70,"summer"
1987-08-20,118,70,"summer"
1987-08-21,118,76,"summer"
1987-08-22,107,71.5,"summer"
1987-08-23,107,63,"summer"
1987-08-24,133,61.5,"summer"
1987-08-25,107,59,"summer"
1987-08-26,96,62,"summer"
1987-08-27,103,63.5,"summer"
1987-08-28,117,63.5,"summer"
1987-08-29,100,65.5,"summer"
1987-08-30,125,72,"summer"
1987-08-31,113,62,"summer"
1987-09-01,112,64,"summer"
1987-09-02,107,61.5,"summer"
1987-09-03,122,60.5,"summer"
1987-09-04,115,69,"summer"
1987-09-05,104,73,"summer"
1987-09-06,118,75,"summer"
1987-09-07,137,70.5,"summer"
1987-09-08,117,72,"summer"
1987-09-09,104,68.5,"summer"
1987-09-10,105,67.5,"summer"
1987-09-11,109,69,"summer"
1987-09-12,121,68,"summer"
1987-09-13,108,59,"summer"
1987-09-14,114,61.5,"summer"
1987-09-15,108,72,"summer"
1987-09-16,111,69,"summer"
1987-09-17,110,67.5,"summer"
1987-09-18,107,63.5,"summer"
1987-09-19,107,61,"summer"
1987-09-20,108,57,"summer"
1987-09-21,139,55.5,"summer"
1987-09-22,130,61,"summer"
1987-09-23,111,63,"summer"
1987-09-24,112,59.5,"summer"
1987-09-25,106,56.5,"summer"
1987-09-26,127,65,"summer"
1987-09-27,110,75.5,"summer"
1987-09-28,120,69,"summer"
1987-09-29,115,61.5,"summer"
1987-09-30,120,55,"summer"
1987-10-01,117,55.5,"autumn"
1987-10-02,128,47,"autumn"
1987-10-03,115,42.5,"autumn"
1987-10-04,123,52,"autumn"
1987-10-05,118,60,"autumn"
1987-10-06,137,45.5,"autumn"
1987-10-07,134,39.5,"autumn"
1987-10-08,134,41.5,"autumn"
1987-10-09,115,53.5,"autumn"
1987-10-10,103,42.5,"autumn"
1987-10-11,106,39,"autumn"
1987-10-12,123,42.5,"autumn"
1987-10-13,116,49.5,"autumn"
1987-10-14,120,55.5,"autumn"
1987-10-15,130,63,"autumn"
1987-10-16,111,62.5,"autumn"
1987-10-17,122,48,"autumn"
1987-10-18,121,53.5,"autumn"
1987-10-19,117,49.5,"autumn"
1987-10-20,111,45.5,"autumn"
1987-10-21,114,37,"autumn"
1987-10-22,104,43,"autumn"
1987-10-23,98,39,"autumn"
1987-10-24,139,38.5,"autumn"
1987-10-25,126,42,"autumn"
1987-10-26,115,44.5,"autumn"
1987-10-27,119,44.5,"autumn"
1987-10-28,114,38.5,"autumn"
1987-10-29,123,44.5,"autumn"
1987-10-30,125,54.5,"autumn"
1987-10-31,116,52,"autumn"
1987-11-01,118,58,"autumn"
1987-11-02,138,64,"autumn"
1987-11-03,98,66,"autumn"
1987-11-04,114,56.5,"autumn"
1987-11-05,117,40.5,"autumn"
1987-11-06,108,39.5,"autumn"
1987-11-07,109,45.5,"autumn"
1987-11-08,121,49.5,"autumn"
1987-11-09,109,35,"autumn"
1987-11-10,127,34,"autumn"
1987-11-11,143,35,"autumn"
1987-11-12,118,43.5,"autumn"
1987-11-13,113,48.5,"autumn"
1987-11-14,125,47,"autumn"
1987-11-15,108,50.5,"autumn"
1987-11-16,100,56,"autumn"
1987-11-17,112,50,"autumn"
1987-11-18,106,38,"autumn"
1987-11-19,128,37.5,"autumn"
1987-11-20,128,27.5,"autumn"
1987-11-21,121,25.5,"autumn"
1987-11-22,128,42,"autumn"
1987-11-23,127,43.5,"autumn"
1987-11-24,113,39.5,"autumn"
1987-11-25,117,40,"autumn"
1987-11-26,114,40,"autumn"
1987-11-27,117,40.5,"autumn"
1987-11-28,115,47,"autumn"
1987-11-29,103,39,"autumn"
1987-11-30,101,37,"autumn"
1987-12-01,134,32,"autumn"
1987-12-02,93,30,"autumn"
1987-12-03,116,30.5,"autumn"
1987-12-04,128,27,"autumn"
1987-12-05,109,27,"autumn"
1987-12-06,142,31.5,"autumn"
1987-12-07,124,38.5,"autumn"
1987-12-08,112,46.5,"autumn"
1987-12-09,116,49.5,"autumn"
1987-12-10,136,38,"autumn"
1987-12-11,138,41,"autumn"
1987-12-12,136,35,"autumn"
1987-12-13,108,31.5,"autumn"
1987-12-14,125,30,"autumn"
1987-12-15,140,31,"autumn"
1987-12-16,149,27.5,"autumn"
1987-12-17,118,20.5,"autumn"
1987-12-18,131,23,"autumn"
1987-12-19,111,34,"autumn"
1987-12-20,130,34,"autumn"
1987-12-21,125,33,"autumn"
1987-12-22,121,35,"autumn"
1987-12-23,144,35.5,"autumn"
1987-12-24,126,41,"autumn"
1987-12-25,124,33,"autumn"
1987-12-26,119,27.5,"autumn"
1987-12-27,116,29,"autumn"
1987-12-28,156,33.5,"autumn"
1987-12-29,112,24.5,"autumn"
1987-12-30,116,25.5,"autumn"
1987-12-31,148,23.5,"autumn"
1988-01-01,108,3.5,"winter"
1988-01-02,124,15,"winter"
1988-01-03,138,24.5,"winter"
1988-01-04,132,5,"winter"
1988-01-05,112,-6.5,"winter"
1988-01-06,131,-5.5,"winter"
1988-01-07,140,3,"winter"
1988-01-08,123,8.5,"winter"
1988-01-09,126,0.5,"winter"
1988-01-10,121,1.5,"winter"
1988-01-11,148,24,"winter"
1988-01-12,146,28.5,"winter"
1988-01-13,119,12,"winter"
1988-01-14,127,11,"winter"
1988-01-15,118,28,"winter"
1988-01-16,137,39,"winter"
1988-01-17,138,37,"winter"
1988-01-18,117,33.5,"winter"
1988-01-19,125,35.5,"winter"
1988-01-20,126,34,"winter"
1988-01-21,100,28.5,"winter"
1988-01-22,126,27,"winter"
1988-01-23,131,21,"winter"
1988-01-24,115,24.5,"winter"
1988-01-25,142,14.5,"winter"
1988-01-26,122,9,"winter"
1988-01-27,124,7,"winter"
1988-01-28,112,21.5,"winter"
1988-01-29,126,35.5,"winter"
1988-01-30,127,50.5,"winter"
1988-01-31,118,46,"winter"
1988-02-01,119,28,"winter"
1988-02-02,111,22.5,"winter"
1988-02-03,120,24,"winter"
1988-02-04,135,16.5,"winter"
1988-02-05,119,4,"winter"
1988-02-06,110,3,"winter"
1988-02-07,123,16.5,"winter"
1988-02-08,108,14.5,"winter"
1988-02-09,135,17.5,"winter"
1988-02-10,124,16,"winter"
1988-02-11,131,16,"winter"
1988-02-12,139,9,"winter"
1988-02-13,113,7,"winter"
1988-02-14,126,27.5,"winter"
1988-02-15,138,26,"winter"
1988-02-16,119,26.5,"winter"
1988-02-17,122,31,"winter"
1988-02-18,124,31.5,"winter"
1988-02-19,128,32,"winter"
1988-02-20,147,21.5,"winter"
1988-02-21,125,16.5,"winter"
1988-02-22,156,40,"winter"
1988-02-23,123,27,"winter"
1988-02-24,119,22,"winter"
1988-02-25,131,20.5,"winter"
1988-02-26,117,39.5,"winter"
1988-02-27,145,32,"winter"
1988-02-28,126,34.5,"winter"
1988-02-29,112,39.5,"winter"
1988-03-01,111,41,"winter"
1988-03-02,117,35.5,"winter"
1988-03-03,118,27,"winter"
1988-03-04,116,28.5,"winter"
1988-03-05,144,31,"winter"
1988-03-06,132,36,"winter"
1988-03-07,142,42,"winter"
1988-03-08,154,48.5,"winter"
1988-03-09,142,34,"winter"
1988-03-10,110,38,"winter"
1988-03-11,126,46.5,"winter"
1988-03-12,137,43,"winter"
1988-03-13,130,26.5,"winter"
1988-03-14,132,24,"winter"
1988-03-15,112,23.5,"winter"
1988-03-16,130,32.5,"winter"
1988-03-17,138,34,"winter"
1988-03-18,130,34.5,"winter"
1988-03-19,109,32,"winter"
1988-03-20,117,28.5,"winter"
1988-03-21,145,30,"winter"
1988-03-22,124,46.5,"winter"
1988-03-23,136,56,"winter"
1988-03-24,113,56.5,"winter"
1988-03-25,132,53,"winter"
1988-03-26,140,39,"winter"
1988-03-27,139,40,"winter"
1988-03-28,121,48.5,"winter"
1988-03-29,139,45.5,"winter"
1988-03-30,122,40.5,"winter"
1988-03-31,113,42,"winter"
1988-04-01,121,42,"spring"
1988-04-02,125,54,"spring"
1988-04-03,120,53.5,"spring"
1988-04-04,130,57.5,"spring"
1988-04-05,144,69.5,"spring"
1988-04-06,111,50,"spring"
1988-04-07,133,50,"spring"
1988-04-08,125,51.5,"spring"
1988-04-09,126,52.5,"spring"
1988-04-10,121,43,"spring"
1988-04-11,118,46,"spring"
1988-04-12,116,47.5,"spring"
1988-04-13,87,53,"spring"
1988-04-14,122,43,"spring"
1988-04-15,116,41.5,"spring"
1988-04-16,123,47.5,"spring"
1988-04-17,118,59,"spring"
1988-04-18,109,42.5,"spring"
1988-04-19,117,40.5,"spring"
1988-04-20,110,45.5,"spring"
1988-04-21,150,37,"spring"
1988-04-22,122,45.5,"spring"
1988-04-23,117,44,"spring"
1988-04-24,94,45,"spring"
1988-04-25,116,54,"spring"
1988-04-26,121,48.5,"spring"
1988-04-27,122,39.5,"spring"
1988-04-28,109,48.5,"spring"
1988-04-29,123,49,"spring"
1988-04-30,100,54,"spring"
1988-05-01,110,53,"spring"
1988-05-02,125,57,"spring"
1988-05-03,127,56.5,"spring"
1988-05-04,113,52.5,"spring"
1988-05-05,115,54.5,"spring"
1988-05-06,115,61.5,"spring"
1988-05-07,129,62,"spring"
1988-05-08,137,67.5,"spring"
1988-05-09,134,56,"spring"
1988-05-10,124,57,"spring"
1988-05-11,121,60.5,"spring"
1988-05-12,107,67,"spring"
1988-05-13,112,58,"spring"
1988-05-14,106,60,"spring"
1988-05-15,121,71,"spring"
1988-05-16,113,55.5,"spring"
1988-05-17,93,52,"spring"
1988-05-18,108,55,"spring"
1988-05-19,104,60,"spring"
1988-05-20,106,63,"spring"
1988-05-21,121,64.5,"spring"
1988-05-22,108,66,"spring"
1988-05-23,111,53.5,"spring"
1988-05-24,109,53,"spring"
1988-05-25,104,48.5,"spring"
1988-05-26,115,60.5,"spring"
1988-05-27,116,69.5,"spring"
1988-05-28,128,73,"spring"
1988-05-29,128,74,"spring"
1988-05-30,115,75.5,"spring"
1988-05-31,146,76,"spring"
1988-06-01,114,76.5,"spring"
1988-06-02,107,63,"spring"
1988-06-03,101,58.5,"spring"
1988-06-04,117,62.5,"spring"
1988-06-05,115,73,"spring"
1988-06-06,120,78,"spring"
1988-06-07,102,79,"spring"
1988-06-08,103,63,"spring"
1988-06-09,103,56,"spring"
1988-06-10,127,56,"spring"
1988-06-11,123,67,"spring"
1988-06-12,110,72,"spring"
1988-06-13,98,78,"spring"
1988-06-14,129,82,"spring"
1988-06-15,102,81.5,"spring"
1988-06-16,112,71,"spring"
1988-06-17,95,68.5,"spring"
1988-06-18,137,74.5,"spring"
1988-06-19,116,82,"spring"
1988-06-20,114,88.5,"spring"
1988-06-21,109,86.5,"spring"
1988-06-22,122,82.5,"spring"
1988-06-23,112,70,"spring"
1988-06-24,108,77.5,"spring"
1988-06-25,122,84.5,"spring"
1988-06-26,118,63.5,"spring"
1988-06-27,105,64,"spring"
1988-06-28,89,72.5,"spring"
1988-06-29,115,63,"spring"
1988-06-30,116,61.5,"spring"
1988-07-01,116,66,"summer"
1988-07-02,108,65,"summer"
1988-07-03,108,69.5,"summer"
1988-07-04,123,73,"summer"
1988-07-05,120,79.5,"summer"
1988-07-06,134,82.5,"summer"
1988-07-07,102,85,"summer"
1988-07-08,131,83,"summer"
1988-07-09,105,82.5,"summer"
1988-07-10,109,75.5,"summer"
1988-07-11,98,76.5,"summer"
1988-07-12,108,71.5,"summer"
1988-07-13,108,80,"summer"
1988-07-14,109,87,"summer"
1988-07-15,99,86.5,"summer"
1988-07-16,123,85,"summer"
1988-07-17,109,78,"summer"
1988-07-18,101,71.5,"summer"
1988-07-19,119,75,"summer"
1988-07-20,132,74,"summer"
1988-07-21,115,71.5,"summer"
1988-07-22,99,71,"summer"
1988-07-23,106,72,"summer"
1988-07-24,112,75.5,"summer"
1988-07-25,115,75.5,"summer"
1988-07-26,121,73.5,"summer"
1988-07-27,110,76,"summer"
1988-07-28,96,84,"summer"
1988-07-29,121,83,"summer"
1988-07-30,110,82.5,"summer"
1988-07-31,89,79,"summer"
1988-08-01,123,89,"summer"
1988-08-02,139,89.5,"summer"
1988-08-03,125,88,"summer"
1988-08-04,146,87,"summer"
1988-08-05,152,76.5,"summer"
1988-08-06,121,76.5,"summer"
1988-08-07,130,78,"summer"
1988-08-08,144,84,"summer"
1988-08-09,108,79,"summer"
1988-08-10,110,76.5,"summer"
1988-08-11,114,82,"summer"
1988-08-12,95,83.5,"summer"
1988-08-13,102,83.5,"summer"
1988-08-14,113,83,"summer"
1988-08-15,132,84,"summer"
1988-08-16,106,86,"summer"
1988-08-17,141,88,"summer"
1988-08-18,168,80.5,"summer"
1988-08-19,125,71.5,"summer"
1988-08-20,100,73,"summer"
1988-08-21,85,70.5,"summer"
1988-08-22,92,70,"summer"
1988-08-23,117,75,"summer"
1988-08-24,124,71,"summer"
1988-08-25,103,69.5,"summer"
1988-08-26,112,66,"summer"
1988-08-27,98,65,"summer"
1988-08-28,79,64,"summer"
1988-08-29,114,60,"summer"
1988-08-30,95,63,"summer"
1988-08-31,112,70.5,"summer"
1988-09-01,121,72,"summer"
1988-09-02,120,73,"summer"
1988-09-03,105,72,"summer"
1988-09-04,108,63,"summer"
1988-09-05,106,54,"summer"
1988-09-06,119,55,"summer"
1988-09-07,120,60.5,"summer"
1988-09-08,117,70,"summer"
1988-09-09,112,66,"summer"
1988-09-10,129,67.5,"summer"
1988-09-11,123,71,"summer"
1988-09-12,133,75.5,"summer"
1988-09-13,102,63,"summer"
1988-09-14,99,66,"summer"
1988-09-15,104,64.5,"summer"
1988-09-16,117,65.5,"summer"
1988-09-17,103,78,"summer"
1988-09-18,121,76.5,"summer"
1988-09-19,103,67,"summer"
1988-09-20,128,60,"summer"
1988-09-21,101,58.5,"summer"
1988-09-22,128,70,"summer"
1988-09-23,107,60,"summer"
1988-09-24,95,56.5,"summer"
1988-09-25,120,61.5,"summer"
1988-09-26,107,64.5,"summer"
1988-09-27,107,71,"summer"
1988-09-28,130,61.5,"summer"
1988-09-29,85,67.5,"summer"
1988-09-30,138,68.5,"summer"
1988-10-01,109,62,"autumn"
1988-10-02,108,56.5,"autumn"
1988-10-03,129,53.5,"autumn"
1988-10-04,122,43,"autumn"
1988-10-05,97,43,"autumn"
1988-10-06,117,43.5,"autumn"
1988-10-07,124,47.5,"autumn"
1988-10-08,110,52,"autumn"
1988-10-09,107,54.5,"autumn"
1988-10-10,118,58,"autumn"
1988-10-11,108,42.5,"autumn"
1988-10-12,112,39,"autumn"
1988-10-13,108,39.5,"autumn"
1988-10-14,106,58,"autumn"
1988-10-15,139,66.5,"autumn"
1988-10-16,120,62.5,"autumn"
1988-10-17,121,53,"autumn"
1988-10-18,121,49.5,"autumn"
1988-10-19,118,43.5,"autumn"
1988-10-20,123,42,"autumn"
1988-10-21,101,46.5,"autumn"
1988-10-22,94,42,"autumn"
1988-10-23,115,43.5,"autumn"
1988-10-24,115,33.5,"autumn"
1988-10-25,138,35,"autumn"
1988-10-26,132,36.5,"autumn"
1988-10-27,131,45,"autumn"
1988-10-28,129,37,"autumn"
1988-10-29,114,33.5,"autumn"
1988-10-30,120,33,"autumn"
1988-10-31,116,39,"autumn"
1988-11-01,139,40,"autumn"
1988-11-02,125,43.5,"autumn"
1988-11-03,132,50.5,"autumn"
1988-11-04,133,52.5,"autumn"
1988-11-05,125,41.5,"autumn"
1988-11-06,105,33.5,"autumn"
1988-11-07,114,39,"autumn"
1988-11-08,108,42,"autumn"
1988-11-09,111,43.5,"autumn"
1988-11-10,93,42.5,"autumn"
1988-11-11,108,39.5,"autumn"
1988-11-12,120,41.5,"autumn"
1988-11-13,124,45,"autumn"
1988-11-14,118,47.5,"autumn"
1988-11-15,132,56,"autumn"
1988-11-16,127,48,"autumn"
1988-11-17,108,38.5,"autumn"
1988-11-18,134,43.5,"autumn"
1988-11-19,117,44,"autumn"
1988-11-20,115,36.5,"autumn"
1988-11-21,109,33,"autumn"
1988-11-22,112,34.5,"autumn"
1988-11-23,125,41.5,"autumn"
1988-11-24,122,46.5,"autumn"
1988-11-25,146,49,"autumn"
1988-11-26,112,54,"autumn"
1988-11-27,106,37,"autumn"
1988-11-28,105,28,"autumn"
1988-11-29,100,33.5,"autumn"
1988-11-30,113,30.5,"autumn"
1988-12-01,109,23.5,"autumn"
1988-12-02,128,34,"autumn"
1988-12-03,116,43,"autumn"
1988-12-04,97,32.5,"autumn"
1988-12-05,115,38.5,"autumn"
1988-12-06,109,42,"autumn"
1988-12-07,122,35,"autumn"
1988-12-08,121,27,"autumn"
1988-12-09,98,21.5,"autumn"
1988-12-10,132,18.5,"autumn"
1988-12-11,103,11,"autumn"
1988-12-12,132,18.5,"autumn"
1988-12-13,123,34.5,"autumn"
1988-12-14,132,37.5,"autumn"
1988-12-15,139,18,"autumn"
1988-12-16,118,10.5,"autumn"
1988-12-17,117,16,"autumn"
1988-12-18,110,22,"autumn"
1988-12-19,106,39,"autumn"
1988-12-20,146,44.5,"autumn"
1988-12-21,108,33,"autumn"
1988-12-22,136,36,"autumn"
1988-12-23,129,41,"autumn"
1988-12-24,108,33.5,"autumn"
1988-12-25,135,23,"autumn"
1988-12-26,148,27,"autumn"
1988-12-27,119,27.5,"autumn"
1988-12-28,116,14.5,"autumn"
1988-12-29,112,13.5,"autumn"
1988-12-30,132,24.5,"autumn"
1988-12-31,141,26,"autumn"
1989-01-01,122,26.5,"winter"
1989-01-02,118,22,"winter"
1989-01-03,134,23,"winter"
1989-01-04,123,19,"winter"
1989-01-05,132,29.5,"winter"
1989-01-06,105,35,"winter"
1989-01-07,109,40,"winter"
1989-01-08,109,15,"winter"
1989-01-09,146,16.5,"winter"
1989-01-10,119,31.5,"winter"
1989-01-11,127,34.5,"winter"
1989-01-12,127,31.5,"winter"
1989-01-13,117,26,"winter"
1989-01-14,131,26.5,"winter"
1989-01-15,125,29.5,"winter"
1989-01-16,114,31.5,"winter"
1989-01-17,138,37,"winter"
1989-01-18,91,37.5,"winter"
1989-01-19,112,38,"winter"
1989-01-20,105,28.5,"winter"
1989-01-21,105,26.5,"winter"
1989-01-22,119,40,"winter"
1989-01-23,144,41.5,"winter"
1989-01-24,139,38,"winter"
1989-01-25,115,42.5,"winter"
1989-01-26,114,34,"winter"
1989-01-27,120,37,"winter"
1989-01-28,110,42,"winter"
1989-01-29,97,40,"winter"
1989-01-30,122,40.5,"winter"
1989-01-31,133,52.5,"winter"
1989-02-01,117,40.5,"winter"
1989-02-02,120,25.5,"winter"
1989-02-03,127,14.5,"winter"
1989-02-04,121,4.5,"winter"
1989-02-05,116,9,"winter"
1989-02-06,130,2,"winter"
1989-02-07,128,12,"winter"
1989-02-08,132,11.5,"winter"
1989-02-09,117,7,"winter"
1989-02-10,121,15,"winter"
1989-02-11,136,24,"winter"
1989-02-12,119,26.5,"winter"
1989-02-13,135,32,"winter"
1989-02-14,136,27.5,"winter"
1989-02-15,130,27.5,"winter"
1989-02-16,126,17.5,"winter"
1989-02-17,147,17.5,"winter"
1989-02-18,117,22,"winter"
1989-02-19,103,28,"winter"
1989-02-20,121,27,"winter"
1989-02-21,114,26,"winter"
1989-02-22,113,17,"winter"
1989-02-23,114,13.5,"winter"
1989-02-24,120,13,"winter"
1989-02-25,133,27.5,"winter"
1989-02-26,108,28.5,"winter"
1989-02-27,134,18.5,"winter"
1989-02-28,135,23,"winter"
1989-03-01,134,17,"winter"
1989-03-02,124,21.5,"winter"
1989-03-03,125,32,"winter"
1989-03-04,108,34.5,"winter"
1989-03-05,113,21.5,"winter"
1989-03-06,147,26,"winter"
1989-03-07,148,23,"winter"
1989-03-08,150,26.5,"winter"
1989-03-09,145,34,"winter"
1989-03-10,110,42.5,"winter"
1989-03-11,148,46,"winter"
1989-03-12,128,35,"winter"
1989-03-13,118,42.5,"winter"
1989-03-14,128,47,"winter"
1989-03-15,117,33.5,"winter"
1989-03-16,99,35.5,"winter"
1989-03-17,124,32,"winter"
1989-03-18,132,24.5,"winter"
1989-03-19,120,26,"winter"
1989-03-20,140,32.5,"winter"
1989-03-21,123,28.5,"winter"
